971,734,156
816,8,95
92,744,684
966,409,849
464,816,217
728,695,773
800,687,342
45,306,946
958,807,238
311,789,568
879,275,137
697,208,644
730,621,308
768,481,76
689,411,194
182,203,132
615,348,473
379,580,608
252,977,805
486,305,673
108,708,906
295,385,421
813,40,681
550,900,844
846,168,286
997,306,334
841,625,883
248,620,928
83,863,129
696,328,709
404,409,52
584,704,652
694,534,387
170,108,69
843,971,562
802,558,639
674,776,959
610,25,183
183,882,499
397,612,549
75,287,227
605,13,461
64,365,442
355,275,400
601,28,858
819,126,870
555,284,997
271,774,784
741,735,918
31,856,394
175,0,675
443,720,930
642,646,359
863,551,732
608,910,187
446,487,22
755,234,404
181,147,239
835,860,823
952,950,28
630,594,319
789,622,565
638,790,221
332,709,910
126,105,407
975,191,213
391,326,361
532,619,721
935,707,929
443,232,253
27,256,316
901,136,244
619,840,952
212,735,351
716,499,87
379,909,787
621,49,267
808,80,957
204,186,765
306,835,671
447,369,444
697,240,176
340,104,775
945,544,375
992,56,536
795,931,849
243,268,569
265,444,449
268,379,813
552,231,219
501,287,18
748,27,152
482,64,859
931,871,160
54,845,528
727,576,731
816,923,158
930,598,804
104,435,364
393,382,911
11,840,918
569,548,897
938,378,521
723,993,908
567,377,647
934,213,700
108,950,949
351,927,395
731,85,406
306,494,50
132,929,372
411,837,160
851,691,46
31,454,819
143,737,495
839,781,354
200,90,976
700,393,225
894,24,412
8,455,85
995,957,741
415,66,357
118,403,225
484,348,274
95,627,76
885,221,424
94,647,413
367,9,642
476,664,64
179,573,967
716,833,375
36,905,316
394,951,568
640,410,365
832,409,741
743,775,670
405,697,842
811,991,580
888,942,563
119,681,827
808,790,404
373,606,425
700,654,352
945,629,152
856,79,313
693,964,335
34,458,75
156,517,544
525,541,982
913,8,482
752,312,953
986,968,891
347,933,454
279,50,102
377,33,967
